ID-dok;ID-præst;dato;helligdag;sogn str.;stift;årgang;køn;uddannelsessted
pr188_2;2;140427;1Pås_L;948/1266;København;1982;1;Aarhus
pr189_2;2;130602;1Trin_U;948/1266;København;1982;1;Aarhus
pr190_2;2;150607;1Trin_U;948/1266;København;1982;1;Aarhus
pr191_2;2;110626;1Trin_U;948/1266;København;1982;1;Aarhus
pr192_2;2;110628;1Trin_U\SÆR;948/1266;København;1982;1;Aarhus
pr193_2;2;120610;1Trin_L;948/1266;København;1982;1;Aarhus
pr194_2;2;160529;1Trin_L;948/1266;København;1982;1;Aarhus
pr195_2;2;161127;1Adv_U;948/1266;København;1982;1;Aarhus
pr196_2;2;141130;1Adv_U;948/1266;København;1982;1;Aarhus
pr197_2;2;151129;1Adv_L;948/1266;København;1982;1;Aarhus
pr198_2;2;110313;1Fas_U;948/1266;København;1982;1;Aarhus
pr199_2;2;130217;1Fas_U;948/1266;København;1982;1;Aarhus
pr200_2;2;150222;1Fas_U;948/1266;København;1982;1;Aarhus
pr201_2;2;140309;1Fas_L;948/1266;København;1982;1;Aarhus
pr202_2;2;160214;1Fas_L;948/1266;København;1982;1;Aarhus
pr203_2;2;121226;2Jul_U;948/1266;København;1982;1;Aarhus
pr204_2;2;141226;2Jul_U;948/1266;København;1982;1;Aarhus
pr205_2;2;161226;2Jul_U;948/1266;København;1982;1;Aarhus
pr206_2;2;111226;2Jul_L;948/1266;København;1982;1;Aarhus
pr207_2;2;131226;2Jul_L;948/1266;København;1982;1;Aarhus
pr208_2;2;151226;2Jul_L;948/1266;København;1982;1;Aarhus
pr209_2;2;130401;2PåsD_U;948/1266;København;1982;1;Aarhus
pr210_2;2;110425;2PåsD_U;948/1266;København;1982;1;Aarhus
pr211_2;2;120409;2PåsD_L;948/1266;København;1982;1;Aarhus
pr212_2;2;140421;2PåsD_L;948/1266;København;1982;1;Aarhus
pr213_2;2;160328;2PåsD_L;948/1266;København;1982;1;Aarhus
pr214_2;2;170115;2Hel_U;948/1266;København;1982;1;Aarhus
pr215_2;2;110116;2Hel_U;948/1266;København;1982;1;Aarhus
pr216_2;2;110118;2Hel_U\SÆR;948/1266;København;1982;1;Aarhus
pr217_2;2;120115;2Hel_L;948/1266;København;1982;1;Aarhus
pr218_2;2;120115;2Hel_L;948/1266;København;1982;1;Aarhus
pr219_2;2;120115;2Hel_L;948/1266;København;1982;1;Aarhus
pr220_2;2;140119;2Hel_L;948/1266;København;1982;1;Aarhus
pr221_2;2;110508;2Pås_U;948/1266;København;1982;1;Aarhus
pr222_2;2;140504;2Pås_L;948/1266;København;1982;1;Aarhus
pr223_2;2;140504;2Pås_L;948/1266;København;1982;1;Aarhus
pr224_2;2;160410;2Pås_L;948/1266;København;1982;1;Aarhus
pr225_2;2;120422;2Pås_L;948/1266;København;1982;1;Aarhus
pr226_2;2;130609;2Trin_U;948/1266;København;1982;1;Aarhus
pr227_2;2;150614;2Trin_U;948/1266;København;1982;1;Aarhus
pr228_2;2;140629;2Trin_L;948/1266;København;1982;1;Aarhus
pr229_2;2;161204;2Adv_U;948/1266;København;1982;1;Aarhus
pr230_2;2;121209;2Adv_U;948/1266;København;1982;1;Aarhus
pr231_2;2;111204;2Adv_L;948/1266;København;1982;1;Aarhus
pr232_2;2;120304;2Fas_L;948/1266;København;1982;1;Aarhus
pr233_2;2;140316;2Fas_L;948/1266;København;1982;1;Aarhus
pr234_2;2;160221;2Fas_L;948/1266;København;1982;1;Aarhus
pr235_2;2;170122;3Hel_U;948/1266;København;1982;1;Aarhus
pr236_2;2;110123;3Hel_U;948/1266;København;1982;1;Aarhus
pr237_2;2;120122;3Hel_L;948/1266;København;1982;1;Aarhus
pr238_2;2;130421;3Pås_U;948/1266;København;1982;1;Aarhus
pr239_2;2;140511;3Pås_L;948/1266;København;1982;1;Aarhus
pr240_2;2;160417;3Pås_L;948/1266;København;1982;1;Aarhus
pr241_2;2;120429;3Pås_L;948/1266;København;1982;1;Aarhus
pr242_2;2;150621;3Trin_U;948/1266;København;1982;1;Aarhus
pr243_2;2;140706;3Trin_L;948/1266;København;1982;1;Aarhus
pr244_2;2;160612;3Trin_L;948/1266;København;1982;1;Aarhus
pr245_2;2;161211;3Adv_U;948/1266;København;1982;1;Aarhus
pr246_2;2;161211;3Adv_U;948/1266;København;1982;1;Aarhus
pr247_2;2;161211;3Adv_U;948/1266;København;1982;1;Aarhus
pr248_2;2;141214;3Adv_U;948/1266;København;1982;1;Aarhus
pr249_2;2;121216;3Adv_U;948/1266;København;1982;1;Aarhus
